Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
SENIOR SOFTWARE DEVELOPER,BROCK SOLUTIONS,"KITCHENER, ON",100193.0,126867.0,2023-10-04,2023-12-07
"SENIOR BACKEND ENGINEER, WEB3",RECRUITING FROM SCRATCH,"WATERLOO, ON",,,2023-10-04,2023-10-04
CNC PROGRAMMER,HÉROUX-DEVTEK INC.,"KITCHENER, ON",60055.0,76043.0,2023-10-04,2023-12-07
SOFTWARE ENGINEERING MANAGER,ONSEMI,"WATERLOO, ON",104090.0,131801.0,2023-10-04,2023-10-04
PROJECT MANAGER,ONTARIO HEALTH,VARIOUS LOCATIONS,96287.0,121921.0,2023-10-04,2023-12-07
SENIOR SOFTWARE ENGINEER,CARTA,"WATERLOO, ON",104700.0,132574.0,2023-10-04,2023-10-04
SENIOR SOFTWARE ENGINEER (JAVA/KAFKA),SUN LIFE,"WATERLOO, ON",,,2023-10-04,2023-10-04
FPGA DEVELOPER,CHRISTIE DIGITAL,"KITCHENER, ON",82097.0,103953.0,2023-10-04,2023-10-04
C++ DEVELOPER - LOW LEVEL - CANADA,GTS,"KITCHENER, ON",90620.0,114745.0,2023-10-04,2023-10-04
SAGE PEOPLE SOFTWARE DEVELOPER - CONTRACT,COMPUGEN INC,VARIOUS LOCATIONS,,,2023-10-04,2023-10-04
STAFF MACHINE LEARNING DEVELOPER,FULLSTORY,"WATERLOO, ON",101315.0,128287.0,2023-10-04,2023-10-04
BUILD SYSTEM DEVELOPER,MAXON COMPUTER,"WATERLOO, ON",84898.0,107499.0,2023-10-04,2023-10-04
"SENIOR SOFTWARE DEVELOPER, NETWORKS, GOOGLE CLOUD BUSINESS PLATFORMS",GOOGLE,"WATERLOO, ON",,,2023-10-04,2023-10-04
ENGINEERING COMMUNICATIONS EDUCATION DEVELOPER,UNIVERSITY OF WATERLOO,"WATERLOO, ON",74452.0,94273.0,2023-10-04,2023-10-04
NETWORK ENGINEER - IT & CLOUD INFRASTRUCTURE,SIEMENS,"KITCHENER, ON",67724.0,85754.0,2023-10-04,2023-10-04
CNC MILL PROGRAMMER/MACHINIST,NOVY MANUFACTURING INC.,"WATERLOO, ON",,,2023-10-04,2023-12-07
SENIOR SOFTWARE DEVELOPER (C#/C++),VIRTEK VISION,"WATERLOO, ON",104207.0,131950.0,2023-10-04,2023-10-04
SENIOR SOFTWARE ARCHITECT,DEJERO LABS INC.,"WATERLOO, ON",97782.0,123813.0,2023-10-04,2023-12-07
SOFTWARE DEVELOPMENT TEAM LEAD,RWDI,"GUELPH, ON",112306.0,142204.0,2023-10-04,2023-10-04
SENIOR DEVOPS DEVELOPER,CLEARPATH INC.,"KITCHENER, ON",106499.0,134851.0,2023-10-04,2023-10-04
PRINCIPAL NETWORK SPECIALIST,OPENTEXT,"WATERLOO, ON",76996.0,97494.0,2023-10-04,2023-10-04
SENIOR DIRECT3D SOFTWARE DEVELOPER,ALLUDO,"WATERLOO, ON",109785.0,139013.0,2023-10-04,2023-12-07
PRINCIPAL SOFTWARE DEVELOPER,OPEN TEXT CORPORATION,"WATERLOO, ON",84110.0,106502.0,2023-10-04,2023-10-04
SENIOR SOFTWARE DEVELOPER,EUNA SOLUTIONS,"KITCHENER, ON",100683.0,127487.0,2023-10-04,2023-10-04
