Job Title,Company,Location,Estimated Salary
Renewals Account Representative,Open Text Corporation,"— Waterloo, ON","Estimated: $41,960 - $53,130 a year"
Software Engineering Program Manager,University of Waterloo,"— Waterloo, ON","Estimated: $86,281 - $109,251 a year"
CNC Lathe Machinist/Programmer,Novy Manufacturing Inc.,"— Waterloo, ON",$30 - $36 an hour
Information Technology Specialist - Research Software Support,University of Waterloo,"— Waterloo, ON","Estimated: $68,015 - $86,123 a year"
Digital Marketing Manager-Vendor Programs,opentext,"— Waterloo, ON","Estimated: $83,776 - $106,079 a year"
Infrastructure Cloud Architect,ApplyBoard,"— Kitchener, ON","Estimated: $108,484 - $137,365 a year"
Principal IT Software Engineer,opentext,"— Waterloo, ON","Estimated: $90,589 - $114,706 a year"
Employee Relations Manager,opentext,"— Waterloo, ON","Estimated: $76,633 - $97,034 a year"
Sr. Production Support Specialist,Open Text Corporation,"— Waterloo, ON","Estimated: $67,062 - $84,916 a year"
Senior Software Architect,Dejero Labs Inc.,"— Waterloo, ON","Estimated: $97,782 - $123,813 a year"
PLC Programmer/Systems Integrator,Trited Innovation Inc-ONTARIO,"— Kitchener-Waterloo, ON","Estimated: $55,976 - $70,878 a year"
Sr. Technical Support Specialist,Open Text Corporation,"— Waterloo, ON","Estimated: $61,957 - $78,452 a year"
Employee Relations Manager,Open Text Corporation,"— Waterloo, ON","Estimated: $76,633 - $97,034 a year"
"Software Engineer - Remote (Waterloo, ON)",TeamViewer,"— Waterloo, ON","Estimated: $91,469 - $115,821 a year"
Full Stack Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $84,746 - $107,308 a year"
Senior Simulation Developer,OTTO Motors by Rockwell Automation,"— Kitchener, ON","Estimated: $94,378 - $119,504 a year"
Sr. RPA Business Analyst,Open Text Corporation,"— Waterloo, ON","Estimated: $74,081 - $93,804 a year"
Sr. Systems Analyst - IAM,opentext,"— Waterloo, ON","Estimated: $73,009 - $92,446 a year"
Sr. Financial Reporting Analyst,Open Text Corporation,"— Waterloo, ON","Estimated: $65,791 - $83,306 a year"
SRE Cloud Network Architect,NCR,"— Waterloo, ON","Estimated: $90,045 - $114,017 a year"
Sr. Program Manager,opentext,"— Waterloo, ON","Estimated: $98,341 - $124,521 a year"
Senior Engineering Manager,Carta,"— Waterloo, ON","Estimated: $96,240 - $121,862 a year"
"Senior Technology Specialist, Digital Developer",Equitable,"— Waterloo, ON","Estimated: $84,294 - $106,735 a year"
Sr. Systems Administrator,Open Text Corporation,"— Waterloo, ON","Estimated: $87,250 - $110,478 a year"
Collections Specialist (Escalations),opentext,"— Waterloo, ON","Estimated: $53,614 - $67,888 a year"
Order Administration Specialist,opentext,"— Waterloo, ON","Estimated: $58,726 - $74,360 a year"
"Manager, Accounts Payable",Open Text Corporation,"— Waterloo, ON","Estimated: $77,163 - $97,706 a year"
Web Analytics Manager,opentext,"— Waterloo, ON","Estimated: $64,507 - $81,680 a year"
Senior FPGA Developer,Christie Digital,"— Kitchener, ON","Estimated: $90,021 - $113,987 a year"
Order Administration Specialist,Open Text Corporation,"— Waterloo, ON","Estimated: $58,726 - $74,360 a year"
Web Analytics Manager,Open Text Corporation,"— Waterloo, ON","Estimated: $64,507 - $81,680 a year"
Lead Financial Analyst,opentext,"— Waterloo, ON","Estimated: $74,256 - $94,024 a year"
Innovation Architect,opentext,"— Waterloo, ON","Estimated: $71,719 - $90,812 a year"
